repository,repo_url,commit_hash,author,date,message,green_aware,patterns_matched,pattern_count,confidence,files_modified,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_nloc,total_complexity,methods_count,energy_joules
S2-group/UPISAS,https://github.com/S2-group/UPISAS,712f672a34a68692359f62b437acd47be2031935,Ilias Gerostathopoulos,2023-10-22T13:22:07+02:00,cleanup,True,"Delete Unused Storage Resources, Remove Unused Assets",2,high,2,7,33,,,,143,28,10,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,f3ca3802fe0475d97429335173ad82fef47cd588,Ilias Gerostathopoulos,2023-10-22T20:16:36+02:00,"dockerizing demo managed system, moving adaptations and monitor and execute schema to strategy from ",True,"Containerize Your Workload, Use Cloud Native Security Tools",2,high,28,415,492,1.0,0.0,0.0,508,100,59,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,dab92fb88b085d686e7b1e8475155ca46b7a13fb,Ilias Gerostathopoulos,2023-10-22T20:20:10+02:00,updating readme for demo managed system,False,Use Cloud Native Security Tools,1,medium,1,4,0,,,,0,0,0,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,8cd3d5050a1db41928818968508b715240f725d4,Ilias Gerostathopoulos,2023-10-23T21:12:39+02:00,cleanup,True,"Delete Unused Storage Resources, Remove Unused Assets",2,high,2,4,7,1.0,1.0,1.0,117,25,6,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,c9f38c39a1eed1d2d24af9e8ed10fc5c5a27bbe7,Ilias Gerostathopoulos,2023-10-23T21:13:37+02:00,changing possible_adaptations endpoint to adaptation_options and adapation_optins_schema,False,,0,low,4,76,41,0.6666666666666666,1.0,1.0,295,52,39,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,c2cb3b8d91de92cb9c4209bb03373562cefd49fa,Ilias Gerostathopoulos,2023-10-23T22:57:04+02:00,"enhancing validation of json schema, reworking tests",False,,0,low,3,141,61,0.3026315789473684,0.7763157894736842,1.0,284,55,36,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,821d46d11b70eaeff39757fabd6db9c97fa03f6c,Ilias Gerostathopoulos,2023-10-24T10:08:02+02:00,giving demo exemplar semantics of optimizing f fuction,False,,0,low,1,54,52,1.0,0.0,0.0,97,11,8,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,ac11108e209373d43fc0219e30d5ff2feebb65b2,Ilias Gerostathopoulos,2023-10-25T14:04:35+02:00,"changing post to put, demo app returning 1calculated value instead of 2 predefined ones, making test",False,,0,low,5,32,31,1.0,0.0,0.0,364,57,43,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,bd10d60e54b6646aa953bcc4352c8a60699f9e5b,Ilias Gerostathopoulos,2023-10-25T15:31:18+02:00,renaming folder of unit tests from demo to upisas,False,,0,low,4,272,2,1.0,1.0,0.9560975609756097,221,40,34,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,5fb1a781c0249bf51b10d85742c26607d999298c,Ilias Gerostathopoulos,2023-10-25T15:31:35+02:00,removing old demo unit tests,False,,0,low,3,0,272,0.0,0.0,0.04390243902439024,0,0,0,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,818766f1d48d72be39cd5cd8088c667a5b888e83,Ilias Gerostathopoulos,2023-10-25T15:32:37+02:00,making dockerhub search work with tags,True,Containerize Your Workload,1,medium,1,1,1,,,,107,25,6,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,9bd4456de0b800a834af373edc7657da5bbf95a3,Ilias Gerostathopoulos,2023-10-25T20:10:46+02:00,demo managed system - small changes in json schema and unit tests,False,Use Cloud Native Security Tools,1,medium,2,6,8,1.0,0.0,0.0,263,37,30,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,6da0a6fa26c21e8ab791f8b4b0131ee524ff59b8,Ilias Gerostathopoulos,2023-10-25T20:11:35+02:00,unit tests for swim + auxiliary empty strategy used for testing,False,,0,low,5,94,8,1.0,1.0,1.0,156,36,27,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,0dfc667768f35f93a7e2f3763ec92bf11ac8f0af,Ilias Gerostathopoulos,2023-10-28T12:49:46+02:00,template for openapi specs,False,,0,low,1,63,15,,,,0,0,0,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,79bc1419d01fa2f5650c277294131bced3ddefa6,Ilias Gerostathopoulos,2023-10-29T15:40:47+01:00,updating exception logic for json validation,False,,0,low,6,78,75,1.0,0.0,0.0,455,98,54,
S2-group/UPISAS,https://github.com/S2-group/UPISAS,cefe58d49141751e64d2675658d9bb758961b67e,Ilias Gerostathopoulos,2023-10-30T17:55:24+01:00,adding swim tests to readme,False,,0,low,1,3,0,,,,0,0,0,
